ID,Gender,Race,Age_at_Release,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
15980,1,0,37,1,7,1,2,2,2,2,1,0,1,0,0,0,0,0,0,6,0,1,128,0,0,0,0,0,0,0,1
23621,1,1,75,0,6,1,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,50.7,0,0,0,0,1,1.440828402,0,1
15197,1,0,23,0,8,2,0,1,2,2,4,1,1,1,0,2,0,1,4,7,3,2,60.2,0.13333334,0,0,0,0.083056478,0.40448505,0,0
16454,1,0,57,0,8,2,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,64.66666667,0,0,0,0,0.979381443,1.882731959,0,1
16741,1,1,54,0,6,2,0,3,1,2,1,1,1,0,1,0,0,0,0,10,2,0,28.18181818,0,0,0,0,0.851612903,2,0,1
17263,1,1,42,0,8,2,0,2,1,2,1,3,1,1,0,1,0,0,0,0,0,1,,,,,,0.650390625,0.713378906,0,1
19036,1,0,70,0,7,2,0,0,1,2,0,1,1,0,0,0,0,0,3,0,0,3,87.33333333,0,0,0,0,0.099236641,1,0,1
19318,1,0,31,1,8,2,0,0,2,2,3,0,1,1,0,1,0,1,4,0,0,0,14.88,0.079999998,0,0,0,0,0,0,1
19773,1,0,53,0,10,1,0,0,1,2,3,2,0,4,0,0,1,0,0,0,0,1,117.5833333,0,0,0,0,0.996456414,0.258858965,0,0
20366,1,0,22,0,9,1,0,2,1,2,2,0,0,2,0,0,0,0,0,4,1,0,17.66666667,0.333333343,0,0,0,0.660377358,1,0,1
23018,1,0,57,0,10,1,0,1,2,2,1,0,1,0,0,0,0,0,1,5,0,0,20.65625,0.125,0,0,0,0.792738275,1.657715582,0,0
16675,1,0,40,1,7,1,1,3,2,2,2,2,1,2,1,0,0,0,0,0,0,0,12.31707317,0,0,0,0,0.518811881,0.723267327,0,0
17436,1,0,76,1,10,1,1,3,2,2,3,0,1,1,0,0,0,0,4,0,0,2,54.28571429,0,0,0,0,0.044736842,0.961184211,0,1
17881,1,0,46,1,10,1,1,0,2,2,1,0,1,0,0,0,0,0,4,0,3,0,104,0.333333343,0,0,0,0,0,0,1
18293,1,0,21,1,6,2,1,0,1,2,3,3,0,3,2,1,2,1,4,5,0,3,22.6,0.200000003,0,0,0,0.592920354,2,0,1
20634,1,0,67,1,10,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,271.5,0.5,0,0,0,0,0,0,1
16811,1,1,49,0,6,2,2,1,1,0,3,2,0,1,3,1,1,0,0,9,0,0,69.14285714,0.142857149,0,0,0,0.196280992,0.75464876,0,0
16945,1,0,47,0,7,2,2,0,1,0,4,0,0,3,0,0,1,0,0,0,0,0,,,,,,0,0,0,0
17368,1,0,21,1,8,2,2,2,0,0,4,2,0,0,4,3,0,2,1,6,0,0,,,,,,0.182370821,1,0,1
20042,1,0,70,0,7,2,2,0,1,0,5,4,0,3,2,2,2,0,0,0,0,0,22,0,0,0,0,1,2,0,1
20314,1,0,33,0,9,1,2,0,4,0,2,2,0,1,1,1,0,0,0,0,0,0,26.75,0.25,0,0,0,1,3,0,0
24689,1,0,19,1,10,1,2,3,1,0,1,2,0,1,1,1,0,0,0,0,0,1,19,0.200000003,0,0,0,0,0,0,1
26509,1,0,52,0,5,0,2,1,0,0,1,1,0,0,2,0,0,0,0,2,0,1,60.7,0.100000001,0,0,0,0,0,0,1
17348,1,0,43,0,8,2,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
18102,1,0,26,1,7,2,0,3,4,0,6,4,2,3,0,0,2,0,0,0,0,2,56.83333333,0.333333343,0,0,0,0.736070381,1,0,1
20020,1,0,36,1,7,2,0,1,4,0,7,4,0,4,1,5,2,1,4,1,2,3,7.625,0,0,0.125,0,0,0,0,1
22703,1,0,27,1,8,0,0,2,4,0,6,1,0,1,0,5,1,0,0,2,0,0,77.2,0,0,0,0,0,0,0,1
23373,1,0,22,0,8,2,0,1,1,0,4,0,1,2,1,1,2,1,3,0,0,1,87.66666667,0.333333343,0,0,0,0.410646388,1,0,1
26481,1,0,31,0,6,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,31.15,0,0,0,0,1,1.172552167,0,0
6985,1,1,64,0,7,2,1,3,4,0,3,0,0,2,0,0,0,0,0,0,0,0,,,,,,0.778074866,0.976604278,0,1
13443,1,1,70,0,7,2,1,0,1,0,4,0,0,2,0,1,1,0,0,0,0,1,41.3,0,0,0,0,1,0.884382567,0,0
20342,1,0,43,1,8,2,1,0,1,0,3,1,1,2,0,0,1,0,4,0,0,1,,,,,,0,0,0,1
21608,1,0,44,0,5,0,1,0,4,0,4,0,0,2,0,1,0,0,0,0,0,0,,,,,,1,1,0,1
22585,1,0,22,0,7,2,1,1,1,0,5,6,2,5,0,4,0,0,4,1,2,0,24.8,0.200000003,0,0,0,0,0,0,1
22764,1,0,20,0,8,2,1,0,1,0,6,0,1,4,1,1,1,0,1,0,0,0,137,0,0,0,0,0,0,0,1
23481,1,0,20,1,9,1,1,1,0,0,5,0,0,0,1,3,0,0,3,6,0,3,48.85714286,0.285714298,0,0,0,0,0,0,1
23540,1,0,35,0,7,2,1,0,0,0,2,3,0,3,2,0,1,1,0,9,1,1,87,0.5,0,0,0,0,0,0,1
23579,1,0,76,1,8,2,1,3,4,0,6,6,2,4,0,5,3,0,2,2,1,0,71.6,0.200000003,0,0,0,0,0,0,1
24080,1,0,24,0,10,1,1,3,1,0,6,2,0,3,1,3,2,0,4,5,3,1,30.75,0.200000003,0,0,0,0,0,0,0
25273,1,1,60,1,7,2,1,1,1,0,3,1,1,1,0,2,1,0,0,0,0,0,18,0,0,0,0,1,1,0,1
26001,1,0,34,0,9,1,1,0,1,0,2,0,0,2,0,0,0,0,4,10,1,0,25.33333333,0.266666681,0,0,0,0.634210526,0.961184211,1,0
10782,1,0,34,0,10,1,0,0,1,3,6,0,0,4,0,1,2,0,4,7,0,3,,,,,,0,0,0,1
14984,1,0,67,1,7,1,0,1,2,3,1,0,1,0,0,0,0,0,4,0,0,3,58.92307692,0,0,0,0,0,0,0,1
18443,1,0,73,0,9,1,0,1,2,3,2,0,1,1,0,0,1,0,0,0,0,0,41,0,0,0,0,1,1.781707317,0,0
22741,1,0,40,1,9,1,0,1,1,3,3,0,0,3,0,0,1,0,2,1,1,0,34.86666667,0.13333334,0,0,0,0,0,0,0
15287,1,1,18,0,10,1,1,0,1,3,1,0,0,1,0,0,0,0,0,7,0,3,209.1666667,0,0,0,0,0.627888446,1.746215139,0,0
16993,1,0,63,0,10,1,1,0,1,3,2,1,0,3,0,0,3,0,0,6,0,0,13.125,0.0625,0,0,0,1,1,0,0
17692,1,0,51,0,7,0,1,0,2,3,4,2,1,3,1,1,1,0,4,6,0,2,62.75,0.100000001,0,0,0,0,0,0,0
15453,1,0,62,0,10,1,2,0,4,1,4,0,1,0,2,0,0,2,0,0,0,0,10.25,0.107142858,0,0,0,0.853658537,1,0,0
18402,1,0,65,0,6,2,2,0,4,1,3,1,0,0,3,1,0,1,0,9,0,0,140.2,0.200000003,0,0,0,0.520684736,0.521041369,0,1
19653,1,0,31,1,7,0,2,2,2,1,4,0,1,2,0,1,1,0,3,0,0,0,20.6,0,0,0,0,1,3,0,1
21424,1,0,28,0,7,2,2,1,0,1,2,4,0,0,3,2,0,2,4,10,0,0,33.68181818,0.272727281,0,0,0,1,1.971659919,0,0
25352,1,1,62,0,8,2,2,3,0,1,2,0,0,0,1,0,0,0,0,10,1,2,16.36585366,0.048780486,0,0,0,0.928464978,1.088673621,0,0
7133,1,1,63,1,6,2,0,2,2,1,8,2,1,3,2,2,1,1,2,4,0,0,28.76666667,0.100000001,0,0.033333335,0.13333334,0.90382387,0.423232908,0,0
8547,1,1,50,0,6,0,0,2,2,1,5,4,1,2,2,1,1,1,0,0,0,0,,,,,,0.42139738,0.797489083,0,1
9480,1,0,62,0,7,1,0,1,2,1,6,6,3,3,1,3,2,0,0,6,0,1,62.66666667,0.166666672,0,0,0,0.970744681,1.942819149,0,1
9994,1,0,68,0,10,1,0,3,1,1,4,1,0,0,4,2,0,2,0,0,0,1,370.3333333,0,0,0,0,0.144914491,0.328757876,0,1
10494,1,0,60,0,7,0,0,0,0,1,3,1,1,0,2,2,0,2,1,1,0,0,30.53333333,0,0,0,0,0,0,0,1
15295,1,1,75,1,9,1,0,0,0,1,6,2,0,1,5,2,0,2,0,7,0,0,39,0,0,0,0,0.508547009,1.560897436,0,1
15558,1,0,68,0,7,2,0,1,1,1,4,2,0,1,3,2,1,0,4,8,0,0,29.66666667,0.166666672,0,0,0,1,2,0,1
17378,1,0,52,1,10,1,0,3,0,1,6,0,1,3,0,2,1,0,4,5,0,2,93.15384615,0.15384616,0,0,0,0,0,0,1
19573,1,1,64,0,6,1,0,1,2,1,2,1,1,1,1,0,0,0,0,6,0,1,33.08333333,0,0,0,0,1,1.840050378,0,0
20135,1,0,71,0,5,1,0,0,2,1,1,1,1,1,0,0,0,0,3,0,0,1,93.5,0,0,0,0,1,0.976604278,0,0
20242,1,1,48,0,6,1,0,2,1,1,2,0,0,2,0,1,1,0,3,1,0,0,19.42105263,0.210526317,0,0,0,1,2.969512195,0,1
20617,1,0,59,1,7,0,0,1,1,1,5,1,1,0,2,3,1,1,4,10,0,2,71.93333333,0,0,0,0,0.258572753,0.677015755,0,1
22187,1,1,55,0,6,1,0,0,2,1,2,3,1,2,2,0,2,1,0,6,0,2,34.06349206,0,0,0,0,0.745573159,0.510601118,0,0
23244,1,0,28,0,5,0,0,0,2,1,1,4,0,1,1,1,0,1,0,0,0,0,,,,,,0.81300813,0.371189024,0,0
23851,1,1,52,0,6,2,0,3,1,1,4,1,0,2,0,2,1,0,0,6,1,3,7.333333333,0,0,0,0,0,0,0,1
24033,1,1,30,1,10,1,0,0,1,1,4,2,0,2,3,1,1,0,4,3,3,1,7.933333333,0.200000003,0,0.06666667,0,0,0,0,1
26336,1,0,64,0,5,0,0,3,2,1,2,5,1,1,2,0,0,1,0,0,0,0,69,0.200000003,0,0,0,0.904347826,1,0,1
6743,1,0,23,0,9,1,1,0,1,1,10,4,0,5,1,2,3,0,0,0,0,0,408.5,0,0,0,0,0,0,0,1
7981,1,0,54,0,7,1,1,1,1,1,10,4,2,5,2,5,2,0,4,0,0,1,106.6666667,0,0,0,0,0,0,1,0
9447,1,0,74,0,8,2,1,3,1,1,5,5,1,2,0,4,3,0,0,6,0,0,52.4,0,0,0,0,0.744274809,0.697041985,1,0
9623,1,0,64,0,7,2,1,0,2,1,4,4,1,2,1,3,1,0,0,0,0,1,,,,,,0,0,0,1
10188,1,0,29,0,9,1,1,3,2,1,7,6,3,5,3,0,0,2,0,0,0,2,17.0625,0,0,0,0,0.586080586,2,0,1
15534,1,0,52,0,7,0,1,2,2,1,6,4,3,4,1,1,1,1,0,0,0,1,36.66666667,0,0,0,0,0,0,0,1
18007,1,0,37,0,9,1,1,3,2,1,3,5,2,0,3,2,1,2,3,10,0,0,58.23076923,0,0,0,0,0.723910172,0.482496697,1,1
20701,1,1,70,1,10,0,1,1,1,1,8,4,0,5,2,2,3,1,0,6,0,3,77.1,0,0,0,0,0.516212711,0.473735409,0,1
24379,1,1,56,1,6,2,1,1,2,1,3,4,3,1,1,3,1,0,4,7,0,1,27.88888889,0.222222224,0,0.222222224,0,0,0,0,1
11581,1,0,54,0,6,2,2,3,1,2,7,5,0,5,2,3,3,2,0,0,0,2,23.12765957,0,0,0,0,0,0,0,1
12722,1,0,69,0,9,1,2,0,1,2,3,4,0,4,1,1,2,0,0,5,0,0,20.5,0,0,0,0,0,0,0,0
21470,1,0,74,1,8,0,2,0,2,2,3,2,1,2,0,2,0,0,0,9,1,2,45.86666667,0.200000003,0,0,0,0.864825581,0.530886628,0,1
25043,1,0,73,0,6,0,2,0,2,2,2,6,1,4,1,4,3,1,0,0,0,0,,,,,,0.150645624,1.048063128,0,1
9193,1,1,35,1,6,0,0,0,1,2,10,0,1,4,0,5,2,0,4,0,0,3,126.75,0,0,0,0,0.350098619,1.440828402,0,1
15883,1,1,56,1,9,1,0,2,1,2,8,3,0,5,1,4,3,1,4,6,1,2,34.33333333,0,0,0.111111112,0,0.027508091,0.591019417,1,1
17560,1,0,58,0,7,1,0,0,2,2,3,1,1,0,1,0,0,0,4,0,0,2,39.66666667,0,0,0,0,0,0,0,1
20733,1,0,63,0,7,2,0,0,1,2,1,1,0,1,1,0,1,0,0,0,0,0,64.5,0,0,0,0,0,0,0,0
22177,1,0,19,0,6,0,0,0,1,2,2,3,2,2,0,2,1,0,0,6,0,0,16.13333333,0,0,0,0,1,3,0,1
22706,1,1,19,0,10,1,0,0,2,2,8,2,3,3,1,2,0,1,0,0,0,0,,,,,,1,2,0,1
22799,1,0,65,1,8,1,0,0,2,2,4,3,1,4,1,0,0,0,0,0,0,1,48.5,0.25,0,0,0,0.036082474,1,1,1
23176,1,0,57,0,7,2,0,0,0,2,2,0,0,0,2,0,0,0,0,7,0,0,43.4,0,0,0,0,0.138248848,2,0,0
23551,1,0,76,1,8,1,0,0,1,2,2,3,0,3,0,0,2,0,4,6,0,1,13.94736842,0.105263159,0,0,0,0,0,0,0
23609,1,1,74,0,8,2,0,0,1,2,2,1,0,2,0,1,2,0,0,6,0,2,69.4,0,0,0,0,0.576368876,1.57889049,0,0
24166,1,1,31,0,7,2,0,2,1,2,6,6,2,2,3,4,0,1,0,6,1,1,22.04545455,0,0,0,0,1,2.259278351,0,1
24403,1,0,51,1,8,2,0,1,1,2,3,2,0,2,1,0,1,0,0,0,0,1,43,0.200000003,0,0,0,1,2,0,1
10652,1,0,55,1,6,1,1,2,2,2,5,1,3,0,0,1,0,0,0,6,0,1,46.93333333,0,0,0,0,0.619318182,1.037642045,0,1
10766,1,0,42,0,7,0,1,0,1,2,5,6,2,3,0,4,3,0,0,0,0,1,181.5,0,0,0,0,1,1.509297521,0,1
11024,1,0,67,0,10,0,1,0,1,2,6,6,0,5,1,3,2,0,0,7,1,0,43.6,0,0,0,0,0,0,0,0
11689,1,0,69,1,9,1,1,2,2,2,6,1,1,4,0,3,3,0,4,0,0,2,47.83333333,0.166666672,0,0,0,0,0,0,1
21756,1,0,66,0,5,1,1,2,1,2,4,4,1,2,1,2,1,0,0,0,0,0,57.66666667,0,0,0,0,1,2,0,0
21760,1,0,48,1,7,1,1,0,2,2,2,0,1,0,1,0,0,0,0,0,0,3,51.875,0,0,0,0,0.795180723,0.880120482,0,1
22255,1,1,53,0,8,2,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,3,188.3846154,0,0,0,0,0.653327889,0.298285014,0,0
24150,1,0,21,0,8,1,1,1,2,2,4,4,3,1,1,0,0,1,0,4,3,2,15.9,0,0,0,0,0,0,1,0
24486,1,0,29,1,9,0,1,2,1,2,2,1,0,2,1,0,1,0,0,0,0,1,,,,,,0,0,0,1
12920,1,0,57,0,7,2,2,0,1,0,6,3,0,1,1,4,0,0,0,0,0,0,,,,,,0,0,0,1
14822,1,0,55,0,8,2,2,0,1,0,5,6,1,5,0,5,3,0,0,0,0,0,,,,,,0,0,0,1
16609,1,1,66,0,6,2,2,0,4,0,4,0,0,1,1,1,0,0,0,0,0,1,121.2,0,0,0,0,1,1.808168317,0,0
18904,1,0,52,1,8,2,2,3,2,0,3,4,2,1,2,2,0,1,2,0,0,1,,,,,,1,1,0,1
23133,1,0,23,0,6,2,2,2,1,0,6,4,1,3,0,2,0,0,0,0,0,1,64.7,0,0,0,0,0,0,0,0
25900,1,1,35,0,7,2,2,3,1,0,3,2,0,1,2,0,1,0,0,10,0,0,99.125,0,0,0,0,1,1.381778058,0,0
26129,1,0,36,0,5,0,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,1,95.8,0,0,0,0,0.872651357,0.762526096,0,0
7162,1,0,31,1,10,1,0,1,1,0,8,6,2,1,0,5,1,1,0,0,0,0,117.5,0.5,0,0,0,0.970212766,1,0,1
9027,1,0,28,0,5,0,0,1,1,0,2,2,0,1,1,1,1,0,0,0,0,0,33.58333333,0,0,0,0,0.918114144,1.812655087,1,0
9601,1,1,53,0,7,2,0,0,1,0,7,3,1,3,1,3,3,0,0,0,0,0,60.66666667,0,0,0,0,1,2,0,0
9948,1,0,27,1,5,0,0,3,4,0,10,6,3,5,0,5,2,0,0,0,0,0,20.2,0.200000003,0,0,0,1,1,0,1
10126,1,0,56,0,8,2,0,3,1,0,9,6,0,5,0,3,3,0,0,0,0,0,,,,,,0,0,0,1
10920,1,0,69,0,6,0,0,0,1,0,10,6,1,5,5,3,2,2,0,0,0,1,,,,,,0,0,0,1
14620,1,1,76,0,8,2,0,2,1,0,9,3,1,2,1,4,3,1,0,0,0,0,84.5,0,0,0,0,1,1,0,1
15443,1,0,59,1,5,0,0,1,4,0,5,5,2,1,2,2,0,2,1,9,3,1,35.44444444,0.333333343,0,0,0,0.181818182,1,0,1
16269,1,0,70,0,10,1,0,1,1,0,6,2,1,4,0,1,3,0,0,0,0,0,19,0.5,0,0,0,0,0,0,1
17650,1,0,22,0,5,0,0,0,2,0,4,3,1,2,1,1,0,1,0,6,0,1,148,0,0,0,0,0,0,0,1
18441,1,0,62,0,9,1,0,2,1,0,6,0,1,2,0,2,0,0,4,5,3,0,41.44444444,0.111111112,0,0,0,1,2.93766756,0,0
19507,1,0,59,0,6,2,0,0,4,0,4,6,1,2,3,5,1,2,0,0,0,0,24.33333333,0,0,0,0,0,0,0,0
23315,1,0,68,0,7,2,0,0,1,0,4,1,0,3,0,0,2,0,0,0,0,0,,,,,,0.112676056,1,0,0
23387,1,1,54,0,7,2,0,0,1,0,4,4,2,5,0,3,2,0,4,3,0,3,,,,,,0.922222222,1,0,1
24639,1,0,43,0,6,2,0,1,0,0,2,3,0,1,1,0,1,0,0,1,2,1,77,0.333333343,0,0,0,0,0,0,1
25184,1,1,73,1,5,0,0,1,2,0,6,5,0,2,2,2,1,1,4,0,0,1,53.85714286,0,0,0.142857149,0,0,0,0,1
25255,1,1,76,0,8,2,0,1,0,0,1,0,0,0,1,0,0,0,0,10,0,0,28.23809524,0.095238097,0,0,0,0.991568297,0.615935919,0,0
25282,1,1,70,0,5,0,0,0,1,0,4,6,2,3,2,3,0,1,4,10,3,3,12.79166667,0.041666668,0.041666668,0.041666668,0.041666668,0.697068404,1,0,1
25507,1,1,62,1,6,0,0,2,0,0,4,5,0,1,2,2,1,2,2,0,0,1,379,1,0,0,0,0,0,0,1
26115,1,1,65,0,8,2,0,3,0,0,1,2,0,1,2,0,0,2,1,0,0,0,4,0.333333343,0,0,0,0,0,0,1
7102,1,0,33,0,5,0,1,3,4,0,10,6,3,3,5,0,2,1,0,2,3,0,32.66666667,0,0,0,0,0.75,1,0,1
7990,1,0,60,0,5,0,1,0,0,0,10,6,1,4,5,5,2,2,3,0,0,0,108.6666667,0,0,0,0,0,0,0,1
9764,1,1,34,0,6,2,1,1,1,0,6,0,0,1,0,5,1,0,3,0,0,3,33.8,0,0,0,0,1,2,0,1
10886,1,0,39,0,7,2,1,2,0,0,5,3,0,1,5,2,0,2,0,5,0,1,49.77777778,0.333333343,0,0,0,0.928571429,1.630580357,0,1
12625,1,1,43,0,6,2,1,0,1,0,3,3,0,5,0,3,3,0,4,3,3,1,74.5,0.166666672,0.083333336,0,0.083333336,0.120805369,0.408557047,1,1
13888,1,0,54,0,8,2,1,1,1,0,4,5,1,3,2,2,3,0,0,3,3,0,22,0.428571433,0,0,0,1,2,0,1
14884,1,0,24,1,9,1,1,2,4,0,5,6,3,1,4,5,2,1,0,0,0,0,,,,,,0.199029126,1,0,1
15694,1,0,42,1,10,1,1,0,2,0,5,4,1,3,0,3,3,0,0,0,0,1,120.3333333,0.333333343,0,0,0,0,0,0,1
15879,1,0,29,1,8,0,1,0,1,0,10,6,3,5,0,3,3,0,0,0,0,0,,,,,,0,0,0,1
16430,1,0,70,1,5,0,1,0,0,0,9,6,0,3,5,4,0,2,0,0,0,0,75.2,0.200000003,0,0,0,0,0,0,1
17857,1,0,71,0,6,2,1,0,0,0,5,6,0,3,5,0,0,0,4,8,3,1,41.1,0.400000006,0.200000003,0,0.100000001,0.827250608,0.888686131,1,1
18812,1,0,40,0,10,1,1,1,2,0,10,6,3,3,2,5,0,1,0,0,0,0,14,0.5,0,0,0,0,0,0,0
20033,1,0,71,0,10,1,1,0,1,0,2,1,0,1,0,1,1,0,0,6,0,0,31.25,0.125,0,0,0,0.512,1,0,1
21183,1,1,76,0,8,2,1,0,1,0,8,0,0,3,1,3,1,0,1,0,0,1,155.25,0,0,0,0,0,0,0,1
23879,1,0,21,1,9,1,1,3,1,0,4,6,0,1,1,5,1,0,0,0,0,1,66.2,0.200000003,0,0,0,0.779456193,2,0,1
25648,1,1,24,0,4,0,1,3,4,0,2,0,1,1,0,1,0,0,0,0,0,1,18.33333333,0,0,0,0,1,2,0,1
9035,1,0,28,0,9,0,2,3,2,3,3,0,2,1,0,0,1,0,0,5,3,2,22.9,0.100000001,0,0,0,0.484716157,1,0,1
9071,1,0,25,0,10,1,2,3,2,3,3,1,1,2,0,0,0,0,0,10,0,3,42.6744186,0.162790701,0,0,0,0.871934605,0.597138965,0,0
10024,1,0,36,0,7,1,2,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,0.954254346,0.668344007,0,0
16394,1,0,75,0,5,0,2,0,2,3,2,0,1,0,0,0,0,0,4,0,0,0,201,0,0,0,0,0.311774461,1.211442786,0,1
17904,1,0,32,0,7,2,2,3,4,3,5,4,0,0,5,0,0,2,0,4,3,0,54.8,0,0,0,0,0.267883212,0.266605839,0,1
20392,1,0,74,0,9,1,2,0,1,3,2,1,0,1,1,0,0,1,0,0,0,0,86.30769231,0.07692308,0,0,0,0.917112299,0.325534759,0,0
8992,1,0,32,0,10,1,0,3,2,3,1,0,1,0,0,0,0,0,4,10,3,2,33.92592593,0.370370358,0,0,0,1,1.993722707,0,0
12704,1,0,35,0,9,1,0,0,2,3,1,1,1,1,0,0,0,0,0,0,0,0,66.4,0,0,0,0,0.954819277,1,1,0
14695,1,0,51,0,9,1,0,0,1,3,1,0,0,1,0,0,1,0,0,9,0,0,36.27272727,0.272727281,0,0,0,1,1.830827068,0,1
16988,1,0,54,0,8,2,0,0,1,3,2,1,0,1,0,0,1,0,0,10,3,0,7.461538462,0,0,0,0,0,0,0,0
17076,1,0,69,1,7,1,0,0,2,3,4,1,0,3,0,0,3,0,3,0,0,0,79.23076923,0,0,0,0,0.105825243,0.35461165,0,1
17387,1,0,43,0,5,1,0,0,2,3,1,1,0,0,0,0,0,0,0,10,0,1,57.125,0.25,0.125,0,0,1,2.397702407,0,0
18475,1,0,26,1,9,0,0,0,1,3,6,3,0,5,1,0,3,1,2,5,0,0,10.95,0.050000001,0,0,0,0,0,0,1
20416,1,0,73,1,10,1,0,1,1,3,7,0,0,5,0,0,0,0,4,1,3,1,81,0.400000006,0,0,0,1,1.803703704,1,0
20445,1,0,66,1,9,1,0,0,2,3,4,0,2,1,0,1,1,0,0,0,0,0,33.6,0,0,0,0,1,2,0,1
20715,1,1,47,0,6,0,0,3,2,3,1,2,1,0,0,1,0,0,0,0,0,0,44.6,0,0,0,0,0,0,0,1
21300,1,0,70,1,10,1,0,0,2,3,2,0,1,1,0,0,1,0,1,6,1,2,13.73684211,0.052631579,0.052631579,0.052631579,0,0,0,0,1
22625,1,0,60,0,6,0,0,0,1,3,2,2,0,2,0,1,0,0,0,0,0,0,41.3,0,0,0,0,0.910411622,1.768765133,0,1
8496,1,0,29,1,10,1,1,0,2,3,3,1,2,1,0,0,0,0,0,6,3,0,100.75,0.25,0,0,0,0.729528536,1.812655087,0,1
9877,1,0,27,1,9,1,1,2,2,3,6,2,3,1,0,1,0,0,0,0,0,2,85,0,0,0,0,0,0,0,1
10054,1,0,70,1,10,1,1,1,2,3,2,0,1,1,0,0,0,0,4,0,0,3,51,0.5,0.25,0,0,0.838235294,1,0,1
11804,1,0,38,0,9,1,1,2,1,3,5,2,1,3,1,1,1,0,1,0,0,3,27.42857143,0.114285715,0,0,0,1,0.7609375,0,0
